"To add dates to the cells, click on the cell then use the formula bar at the top of the screen. Do not type directly after clicking on the cell because it will replace everything present.",,,,,,,,,,,,,,,,,
"To undo use CTRL+Z, Use CTRL+F to search for names or dates",,,,,,,,,,,,,,,,,
Category,Common Name,Scientific Name,"Dates seen (mm/dd/yyyy, list with commas)",,,,,,,Sum of dates observed,<- formula is ,,"LEN(A1)-LEN(SUBSTITUTE(A1,"","",""""))+1",,,,Switch both A1s to whichever cell you want to count
Birds,Tree swallow,Tachycineta bicolor ,"05/07/2019, 05/23/2019, 06/16/2019, 05/13/2020, 06/11/2020, 06/16/2020, 06/22/2021, 04/22/2022, 05/09/2022, 06/19/2022, 05/19/2023, 06/15/2024, 06/18/2024, 07/13/2024",,,,,,,14,,,,,,,
Birds,Turkey,Meleagris gallopavo silvestris,"06/09/2019, 07/24/2019",,,,,,,2,,,,,,,
Birds,Turkey vulture,Cathartes aura,"05/07/2019, 06/11/2020, 09/20/2021, 05/06/2024, 08/09/2025,09/01/2025",,,,,,,6,,,,,,,
Birds,Warbling vireo,Vireo gilvus,06/04/2022,,,,,,,1,,,,,,,
Birds,White crowned sparrow,Zonotrichia leucophrys,10/08/2019,,,,,,,1,,,,,,,
Birds,White throated sparrow ,Zonotrichia albicollis,"10/05/2023, 09/12/2024,10/06/2025",,,,,,,3,,,,,,,
Birds,White-breasted nuthatch, Sitta carolinensis,"07/19/2018, 06/16/2020, 04/07/2023, 11/09/2024,09/01/2025",,,,,,,5,,,,,,,
Birds,Winter wren,Troglodytes troglodytes,"07/13/2023, 06/04/2024, 07/20/2024",,,,,,,3,,,,,,,
Birds,Wood thrush,Hylocichla mustelina,"05/23/2019, 06/16/2019, 06/11/2020, 06/16/2020, 07/21/2020, 05/30/2022, 06/04/2022, 07/13/2023",,,,,,,8,,,,,,,
Birds,Yellow rimped warbler,Setophaga coronata,2025-10-06,,,,,,,1,,,,,,,
Birds,Yellow warbler,Setophaga aestiva,"06/11/2020, 06/16/2020",,,,,,,2,,,,,,,
Birds,Yellow-throated warbler,Setophaga dominica,"06/11/2020, 05/30/2022, 06/04/2022",,,,,,,3,,,,,,,
Plants,Winter aconite,Eranthis hyemalis,04/09/2022,,,,,,,1,,,,,,,
Plants,Alsike clover,Trifolium hybridum,08/13/2023,,,,,,,1,,,,,,,
Plants,Alternate Leaved dogwood,Cornus alternifolia,"08/09/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,American aster,Symphyotrichum (genus),"08/13/2023, 10/07/2024",,,,,,,2,,,,,,,
Plants,American bugleweed,Lycopus americanus,08/13/2023,,,,,,,1,,,,,,,
Plants,American elm,Ulmus americana,"08/09/2025,09/01/2025",,,,,,,2,,,,,,,
Plants,American hog-peanut,Amphicarpaea bracteata,08/13/2023,,,,,,,1,,,,,,,
Plants,American lopseed,Phryma leptostachya,"06/16/2020, 08/14/2021,09/07/2025",,,,,,,3,,,,,,,
Plants,American plantain,Plantago rugelii,"08/13/2023,09/07/2025",,,,,,,2,,,,,,,
Plants,Apple tree,Malus (Genus),"05/06/2024,08/09/2025",,,,,,,2,,,,,,,
Plants,Arrow leaved aster,Symphyotrichum cordifolium,2025-09-07,,,,,,,1,,,,,,,
Plants,Autumn olive,Elaeagnus umbellata,06/04/2023,,,,,,,1,,,,,,,
Plants,Bebb's willow,Salix bebbiana,08/13/2023,,,,,,,1,,,,,,,
Plants,Beebalm,Monarda (Genus),"08/14/2021, 08/04/2024",,,,,,,2,,,,,,,
Plants,Beggarticks,Bidens (genus),"08/13/2023, 10/07/2024",,,,,,,2,,,,,,,
Plants,Bells campanula,Campanula (genus),06/18/2024,,,,,,,1,,,,,,,
Plants,Bird vetch,Vicia cracca,"08/14/2021,",,,,,,,2,,,,,,,
Plants,Birds-foot trefoil,Lotus corniculatus,"08/13/2023, 06/04/2024, 06/18/2024, 08/09/2025, 08/23/2025,09/07/2025",,,,,,,6,,,,,,,
Plants,Bittersweet nightshade,Solanum dulcamara,"08/23/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Bitternut hickory,Carya cordiformis,2025-09-07,,,,,,,1,,,,,,,
Plants,Black medic,Medicago lupulina,"06/16/2019, 08/23/2025",,,,,,,2,,,,,,,
Plants,Black Walnut,Juglans nigra,08/23/2025,,,,,,,1,,,,,,,
Plants,Black-eyed susan,Rudbeckia hirta,"07/05/2021, 08/11/2022, , 07/13/2023, 08/10/2023, 08/01/2024,09/07/2025,10/06/2025",,,,,,,8,,,,,,,
Plants,Bloodroot,Sanguinaria canadensis,"05/13/2020, 06/16/2020, 05/09/2022, 06/04/2023, 04/10/2024",,,,,,,5,,,,,,,
Plants,Blue cohosh,(Caulophyllum thalictroides),"10/14/2018, 04/23/2019, 05/13/2020, 05/21/2021, 06/04/2023,09/07/2025",,,,,,,6,,,,,,,
Plants,Blues stem grass,Schizachyrium scoparium,"08/23/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Blue stemmed goldenrod,(Solidago caesia),10/22/2018,,,,,,,1,,,,,,,
Plants,Blue vervain,Verbena hastata,"06/16/2020, 07/13/2024,09/07/2025",,,,,,,3,,,,,,,
Plants,Blue violet,Viola adunca,"05/23/2019, 05/21/2021",,,,,,,2,,,,,,,
Plants,Boneset,Eupatorium perfoliatum,"08/13/2023,09/01/2025,09/07/2025",,,,,,,3,,,,,,,
Plants,Broad leaved aster,Symphyotrichum latifolium,09/23/2020,,,,,,,1,,,,,,,
Plants,Brown-eyed susan,Rudbeckia triloba,"10/07/2024,09/01/2025,09/07/2025",,,,,,,3,,,,,,,
Plants,Bull thistle,Cirsium vulgare,"08/13/2023, 08/09/2025",,,,,,,2,,,,,,,
Plants,Bur marigold,Bidens cernua,08/13/2023,,,,,,,1,,,,,,,
Plants,Burdock,Arctium minus,"08/23/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Bur-reed sedge,Carex sparganioides,06/16/2020,,,,,,,1,,,,,,,
Plants,Buttercup,Ranunculus (genus),"06/04/2022, 06/19/2022, 06/18/2024",,,,,,,3,,,,,,,
Plants,Button bush,Cephalanthus occidentalis,"07/13/2024,09/01/2025",,,,,,,2,,,,,,,
Plants,Calico aster,Symphyotrichum lateriflorum,"09/01/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Canada Goldenrod,Solidago canadensis,"08/09/2025, 08/23/2025,09/01/2025",,,,,,,3,,,,,,,
Plants,Canada yew,Taxus canadensis,"11/2/2025,09/01/2025,09/07/2025",,,,,,,3,,,,,,,
Plants,Canada mayflower,Maianthemum canadense,"05/21/2021,",,,,,,,2,,,,,,,
Plants,Canadian violet,Viola canadensis,"05/23/2019, 05/21/2021",,,,,,,2,,,,,,,
Plants,Canadian wild ginger,Asarum canadense,"05/13/2020, 05/09/2022, 08/10/2023, 06/04/2024,09/01/2025,09/07/2025",,,,,,,6,,,,,,,
Plants,Canadian wild rye,Elymus canadensis,08/13/2023,,,,,,,1,,,,,,,
Plants,Northern catalpa ,Catalpa speciosa,"07/05/2021, 07/04/2024",,,,,,,2,,,,,,,
Plants,Cattail,Typha (genus),"08/13/2023, 08/09/2025,11/02/2025",,,,,,,3,,,,,,,
Plants,Cocklebur,Xanthium (genus),08/13/2023,,,,,,,1,,,,,,,
Plants,Coltsfoot,Tussilago farfara,"04/22/2022, 05/09/2022, 04/10/2024, 08/23/2025",,,,,,,4,,,,,,,
Plants,Columbines,Genus (Aquilegia),"05/30/2018, 06/19/2018, 10/14/2018, 06/09/2019, 06/11/2020, 05/30/2022",,,,,,,6,,,,,,,
Plants,Common buckthorn,Rhamnus cathartica,"06/04/2023, 10/18/2023, 06/18/2024, 07/20/2024, 08/09/2025, 08/23/2025,09/01/2025,11/02/2025",,,,,,,8,,,,,,,
Plants,Common chicory,Cichorium intybus,"08/14/2021, 10/07/2024, 08/23/2025,09/07/2025",,,,,,,4,,,,,,,
Plants,Common evening primose,Oenothera biennis,"08/16/2018, 08/10/2019, 08/14/2021, 08/13/2023, 10/07/2024,09/07/2025",,,,,,,6,,,,,,,
Plants,Common hedge parsley ,Torilis arvensis,08/13/2023,,,,,,,1,,,,,,,
Plants,Common jewel weed,Impatiens capensis,09/12/2024,,,,,,,1,,,,,,,
Plants,Common milkweed,Asclepias syriaca,"07/16/2018, 08/28/2018, 07/09/2019, 06/25/2020, 06/22/2021, 07/05/2021, 08/14/2021, 06/30/2022, 10/14/2022, 11/03/2022, 06/04/2023, 07/13/2023, 08/10/2023, 10/05/2023, 10/18/2023, 07/04/2024, 08/01/2024, 10/07/2024, 08/09/2025, 08/23/2025,09/01/2025,10/06/2025",,,,,,,22,,,,,,,
Plants,Common mugwort,Artemisia vulgaris,08/13/2023,,,,,,,1,,,,,,,
Plants,Common mullein, Verbascum (Genus),"10/14/2022, 08/23/2025,09/01/2025,09/07/2025",,,,,,,4,,,,,,,
Plants,Common plantain,Plantago (genus),"08/13/2023, 08/23/2025",,,,,,,2,,,,,,,
Plants,Common self-heal,Prunella vulgaris,2025-09-07,,,,,,,1,,,,,,,
Plants,Common snowdrops,Galanthus nivalis,04/07/2023,,,,,,,1,,,,,,,
Plants,Common Strawberry,Fragaria virginiana,08/23/2025,,,,,,,1,,,,,,,
Plants,Common toad flax,Linaria vulgaris,10/07/2024,,,,,,,1,,,,,,,
Plants,Common willow herb,Epilobium (genus),08/13/2023,,,,,,,1,,,,,,,
Plants,Common yarrow,Achillea millefolium,2025-09-07,,,,,,,1,,,,,,,
Plants,Cow vetch,Vicia cracca,"06/19/2018, 06/16/2020, 08/13/2023",,,,,,,3,,,,,,,
Plants,Cranesbill,Geranium (genus),06/18/2024,,,,,,,1,,,,,,,
Plants,Creeping bellflower,Campanula rapunculoides,"07/06/2018, 08/16/2018, 07/24/2019, 08/10/2019, 08/23/2025",,,,,,,5,,,,,,,
Plants,Creeping thistle,Cirsium arvense,"08/13/2023, 08/23/2025,09/07/2025",,,,,,,3,,,,,,,
Plants,Crimson King Maple,Acer platanoides,08/23/2025,,,,,,,1,,,,,,,
Plants,Crocus Flower,Crocus (genus),"04/22/2018, 04/23/2019",,,,,,,2,,,,,,,
Plants,Crown vetch,Securigera varia,"08/13/2023, 08/23/2025",,,,,,,2,,,,,,,
Plants,Cup Plant,(Silphium perfoliatum),10/14/2018,,,,,,,1,,,,,,,
Plants,Curly dock,Rumex crispus,08/13/2023,,,,,,,1,,,,,,,
Plants,Daffodil,Narcissus pseudonarcissus,04/22/2018,,,,,,,1,,,,,,,
Plants,Daisy,Leucanthemum (genus),"06/19/2018, 06/11/2020, 05/30/2022, 06/04/2022, 06/19/2022",,,,,,,5,,,,,,,
Plants,Daisy fleabane,Erigeron (genus),"08/13/2023, 08/23/2025",,,,,,,2,,,,,,,
Plants,Dame's rocket,Hesperis matronalis,"06/16/2019, 06/11/2020,09/07/2025",,,,,,,3,,,,,,,
Plants,Dandelion,Taraxacum officinale,05/30/2022,,,,,,,1,,,,,,,
Plants,Devils beggarticks,Bidens frondosa,08/13/2023,,,,,,,1,,,,,,,
Plants,Dog stangling vine,Vincetoxicum rossicum,"04/22/2018, 04/24/2018, 06/19/2018, 06/20/2018, 07/16/2018, 07/09/2019, 08/10/2019, 06/11/2020, 07/11/2020, 07/14/2020, 08/11/2020, 09/23/2020, 06/22/2021, 05/30/2022, 07/23/2022, 08/11/2022, 09/24/2023, 07/04/2024, 07/20/2024",,,,,,,19,,,,,,,
Plants,Eastern cottonwood,Populus deltoides,08/13/2023,,,,,,,1,,,,,,,
Plants,Eastern red cedar,Juniperus virginiana,"06/04/2023, 08/09/2025, 08/23/2025",,,,,,,3,,,,,,,
Plants,Purple cone flower,Echinacea purpurea,"08/10/2019, 08/01/2024, 10/07/2024,10/06/2025",,,,,,,4,,,,,,,
Plants,Elecampane,Inula helenium,"08/10/2019, 06/16/2020, 06/04/2023, 08/13/2023, 08/09/2025,09/01/2025",,,,,,,6,,,,,,,
Plants,Enchanters nightshade,Circaea canadensis,07/24/2019,,,,,,,1,,,,,,,
Plants,English plantain,Plantago lanceolata,08/23/2025,,,,,,,1,,,,,,,
